accession,title,disease,source,technology,tissue,species,has_control,has_clinical_info,has_processed_matrix,sample_size,score,first_seen,last_seen,url,notes
ERR17384440,ERR17384440,RA,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384440,auto-collected from public metadata; sample_size from BioSample accessions
ERR17384441,ERR17384441,RA,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384441,auto-collected from public metadata; sample_size from BioSample accessions
ERR17384442,ERR17384442,RA,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384442,auto-collected from public metadata; sample_size from BioSample accessions
ERR17384443,ERR17384443,RA,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384443,auto-collected from public metadata; sample_size from BioSample accessions
ERR17384444,ERR17384444,RA,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384444,auto-collected from public metadata; sample_size from BioSample accessions
ERR17384445,ERR17384445,RA,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17384445,auto-collected from public metadata; sample_size from BioSample accessions
"ERR17440696, ERR17440711","ERR17440696, ERR17440711",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17440696,auto-collected from public metadata; sample_size from BioSample accessions
"ERR17440697, ERR17440704","ERR17440697, ERR17440704",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17440697,auto-collected from public metadata; sample_size from BioSample accessions
"ERR17440698, ERR17440707","ERR17440698, ERR17440707",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17440698,auto-collected from public metadata; sample_size from BioSample accessions
"ERR17440699, ERR17440708","ERR17440699, ERR17440708",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17440699,auto-collected from public metadata; sample_size from BioSample accessions
"ERR17440700, ERR17440701","ERR17440700, ERR17440701",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17440700,auto-collected from public metadata; sample_size from BioSample accessions
"ERR17440702, ERR17440703","ERR17440702, ERR17440703",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17440702,auto-collected from public metadata; sample_size from BioSample accessions
"ERR17440705, ERR17440709","ERR17440705, ERR17440709",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17440705,auto-collected from public metadata; sample_size from BioSample accessions
"ERR17440706, ERR17440710","ERR17440706, ERR17440710",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17440706,auto-collected from public metadata; sample_size from BioSample accessions
ERR17451522,ERR17451522,RA,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17451522,auto-collected from public metadata; sample_size from BioSample accessions
ERR17451523,ERR17451523,RA,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17451523,auto-collected from public metadata; sample_size from BioSample accessions
ERR17451524,ERR17451524,RA,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17451524,auto-collected from public metadata; sample_size from BioSample accessions
ERR17451525,ERR17451525,RA,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=ERR17451525,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421809,SRR37421809,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421809,auto-collected from public metadata; sample_size from BioSample accessions
SRR37421810,SRR37421810,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-07-15,2026-07-15,https://www.ncbi.nlm.nih.gov/sra/?term=SRR37421810,auto-collected from public metadata; sample_size from BioSample accessions
